Start,row_col,Crop,Year,SOCtop,SOCbottom,DeltaSOCtop,DeltaSOCbottom,Nmin,NLeach,CO2emission,Yield,IniSOCtop,IniSOCbottom
short,125_72,WW,2000_2010,0.5816055,0.3893721,-0.3252905,-0.0521749,22.566947,67.58281818,3278.451822,8755.11,0.7,0.4
short,102_135,WW,2000_2010,1.4171369,0.3799599,-0.9006028,-0.0523039,40.772132,85.60881818,4333.989664,9145.66,2.02,0.39
short,93_70,WW,2000_2010,0.8431875,0.4172849,-0.2991319,-0.0537148,33.697156,60.57690909,4390.196441,10922.4,1,0.43
short,86_148,WW,2000_2010,1.2078773,0.4868222,-0.4800197,-0.0523318,35.556628,46.31727273,4939.616638,11008.66,1.45,0.5
short,74_51,WW,2000_2010,1.5176891,1.0344757,-1.3685362,-0.0549863,43.799794,105.5980909,4215.506055,7822.29,2.72,1.07
short,72_167,WW,2000_2010,0.9334306,0.3864705,-0.2532954,-0.0582164,61.399602,20.36809091,6451.666695,9434.54,0.98,0.4
short,48_53,WW,2000_2010,0.7017551,0.3848316,-0.0777526,-0.0566087,104.452298,42.33427273,6363.442275,6139.47,0.63,0.4
short,82_136,WW,2000_2010,1.005075,0.464744,-0.5454312,-0.0559789,56.494055,34.25690909,5467.723495,9331.73,1.26,0.48
short,113_80,WW,2000_2010,0.6578025,0.3497435,-0.2568797,-0.0543512,36.751853,42.609,3627.66429,9263.45,0.74,0.36
short,90_136,WW,2000_2010,0.8019265,0.3680715,-0.3601316,-0.0556688,47.03235,34.99209091,5146.698321,9512.65,0.86,0.38
short,49_150,WW,2000_2010,0.7275708,0.3849742,0.127581,-0.0572053,45.141156,45.94509091,6888.706544,10182.75,0.6,0.4
short,112_64,WW,2000_2010,0.8860919,0.3884036,-0.5932473,-0.0544131,30.923544,62.94572727,4003.719335,10380.56,1.16,0.4
short,87_84,WW,2000_2010,1.299496,0.4945646,-1.0499923,-0.0537537,44.356614,89.09218182,5147.230261,9476.61,2.02,0.51
short,56_57,WW,2000_2010,1.0357089,0.5404986,-0.7672922,-0.0569767,92.834641,41.88063636,7149.892435,8592.31,1.4,0.56
