Start,row_col,Crop,Year,SOCtop,SOCbottom,DeltaSOCtop,DeltaSOCbottom,Nmin,NLeach,CO2emission,Yield,IniSOCtop,IniSOCbottom
short,151_145,Maize,2000_2010,1.7581978,0.3818704,-0.6581408,-0.0464491,42.171828,82.57827273,4482.547832,10924,2.18,0.39
short,143_145,Maize,2000_2010,1.6551186,0.4202629,-0.7322897,-0.0490131,43.297705,71.77736364,4031.910713,10812.98182,2.02,0.43
short,85_126,Maize,2000_2010,1.0341431,0.3586002,-0.4498514,-0.0578443,59.318507,40.724,7819.692945,10581.18182,1,0.37
short,109_97,Maize,2000_2010,0.897039,0.3885108,0.4160779,-0.0549386,39.117531,71.61636364,7729.080207,9621.645455,0.6,0.4
short,167_145,Maize,2000_2010,1.8594808,0.8945278,-0.4370648,-0.0400434,48.327303,84.47554545,4077.153036,9670.763636,2.18,0.91
short,83_97,Maize,2000_2010,1.143102,0.4177197,-0.0350677,-0.0545959,33.706384,65.78118182,8257.109599,13045.44545,1,0.43
short,52_44,Maize,2000_2010,0.8661781,0.384607,0.0458025,-0.0526293,47.941314,59.89163636,10636.70691,10343.53636,0.96,0.4
short,49_169,Maize,2000_2010,0.8224164,0.3861069,-0.5429752,-0.0569206,76.798392,94.758,8919.098619,10238.62727,0.98,0.4
short,119_145,Maize,2000_2010,0.8220394,0.2924236,-0.6535862,-0.0515992,30.840065,57.326,4089.42101,11976.3,0.9,0.3
short,108_73,Maize,2000_2010,1.3589962,0.485664,-0.1986484,-0.0538838,36.946599,74.87272727,8364.367742,11707.93636,1.45,0.5
short,88_111,Maize,2000_2010,1.0396339,0.350003,0.2120146,-0.0537943,27.005782,59.98118182,7964.266893,12857.83636,0.74,0.36
short,108_112,Maize,2000_2010,1.1423614,0.3887317,-0.0969189,-0.0543322,43.479521,45.93027273,7499.008765,11849.49091,1.07,0.4
short,121_61,Maize,2000_2010,1.2900821,1.2252912,-0.3513338,-0.052467,39.897977,40.45436364,7510.431493,8667.436364,1.4,1.26
short,99_146,Maize,2000_2010,1.2244099,0.3600684,-0.0620732,-0.0535737,27.831663,54.06027273,7674.044705,12583.17273,0.99,0.37
short,88_83,Maize,2000_2010,1.0502896,0.3583504,-0.1272826,-0.0554293,46.929307,72.27845455,7761.491778,10528.44545,1,0.37
short,59_50,Maize,2000_2010,0.619948,0.2594116,-0.4345392,-0.0558046,54.98085,109.0329091,9061.836407,9893.681818,0.7,0.27
short,65_52,Maize,2000_2010,1.1087604,0.4818528,-0.4158274,-0.0563981,46.501814,105.6789091,9597.21913,11160.15455,1.39,0.5
short,69_117,Maize,2000_2010,0.9292388,0.3571164,-1.0510087,-0.0618328,46.788498,124.4865455,7761.343169,10530.81818,1,0.37
short,55_109,Maize,2000_2010,0.8596753,0.3562491,-0.6597644,-0.0579716,70.840834,87.88972727,8498.572293,9345.009091,1,0.37
short,93_158,Maize,2000_2010,1.4501327,0.3884299,-0.4952596,-0.0551624,56.515759,24.58572727,8119.073297,12849.90909,1.6,0.4
short,133_125,Maize,2000_2010,1.2551109,0.5853999,-0.6814084,-0.0519117,42.352827,48.02690909,4424.680582,12228.75455,1.45,0.6
short,81_158,Maize,2000_2010,1.0388251,0.3685629,-0.0661772,-0.0571473,45.314833,40.73609091,8463.429627,11881.27273,0.86,0.38
short,96_87,Maize,2000_2010,0.9328492,0.3492767,0.185692,-0.0548707,50.479112,46.35681818,7495.360966,10053.37273,0.74,0.36
short,164_112,Maize,2000_2010,0.6732131,0.2262382,0.3026925,-0.0395933,24.790964,123.2074545,3375.636073,7279.754545,0.5,0.23
short,47_54,Maize,2000_2010,0.7554697,0.559983,-0.8204169,-0.0580455,93.07354,88.29881818,7710.825975,7917.654545,1.04,0.58
short,64_120,Maize,2000_2010,0.9573947,0.3575841,-0.6071455,-0.0599151,49.370507,65.814,7938.786782,13938.3,1,0.37
short,103_67,Maize,2000_2010,1.2317536,0.4561245,-0.0688976,-0.0541832,39.3793,76.30336364,8763.021051,11055.59091,1.16,0.47
short,105_125,Maize,2000_2010,0.6890272,0.2917083,0.1951809,-0.0535133,39.379208,28.48472727,7252.176192,12102.25455,0.5,0.3
short,61_78,Maize,2000_2010,0.8709882,0.3775762,-0.3780398,-0.0562514,78.274199,0.355272727,7658.212329,11435.73636,0.87,0.39
short,140_112,Maize,2000_2010,1.8228021,0.4885156,-0.7393374,-0.0496131,40.449636,69.82081818,4753.401289,11422.47273,2.22,0.5
short,71_109,Maize,2000_2010,1.0051822,0.4151258,9.19E-03,-0.0549739,41.573436,84.74381818,8893.440445,11409.51818,1,0.43
short,152_112,Maize,2000_2010,1.9140648,0.3837513,-0.654523,-0.0383421,47.727763,97.41572727,3303.006288,7937.627273,2.18,0.39
short,117_125,Maize,2000_2010,1.3848596,0.5654093,0.0304378,-0.0523419,39.673812,48.03436364,7517.64283,11273.91818,1.16,0.58
short,134_115,Maize,2000_2010,1.2501672,0.4879379,-0.7019797,-0.050643,36.281962,70.52909091,3999.98879,10855.48182,1.45,0.5
short,71_110,Maize,2000_2010,0.9138903,0.4141925,-0.2432419,-0.0556608,51.298404,77.54827273,8638.427828,10886.67273,1,0.43
short,61_61,Maize,2000_2010,0.6278172,0.2605665,-0.0221742,-0.0569804,54.675467,40.02272727,8582.127285,12799.71818,0.5,0.27
short,163_122,Maize,2000_2010,4.2993514,0.7963363,-0.6314925,-0.0398133,69.973757,70.97972727,3378.385115,7680.127273,5.27,0.81
short,147_122,Maize,2000_2010,4.0678489,0.7931867,-0.7422317,-0.0453554,63.167148,64.04990909,4558.269975,10107.07273,5.27,0.81
short,102_115,Maize,2000_2010,1.0774402,0.3887641,-0.0760674,-0.0540398,45.139951,37.02272727,7086.295308,11966.8,1,0.4
short,93_141,Maize,2000_2010,1.1256169,0.4559341,-0.1426481,-0.0550122,37.672858,34.72054545,7743.098965,12631.76364,0.98,0.47
short,110_115,Maize,2000_2010,0.9082939,0.4178819,0.291607,-0.0541515,42.968782,35.62927273,7259.655973,11641.97273,0.65,0.43
short,155_122,Maize,2000_2010,1.3050635,0.5882781,-0.3403916,-0.0447594,49.208338,45.67609091,3966.04463,9891.1,1.39,0.6
short,59_49,Maize,2000_2010,0.939512,0.5777483,-0.910207,-0.0572262,70.413948,121.3411818,9016.31406,9346.681818,1.39,0.6
short,158_115,Maize,2000_2010,4.2929829,0.7952935,-0.7365733,-0.0431009,63.808654,97.24090909,4081.834173,8792.163636,5.27,0.81
short,58_127,Maize,2000_2010,0.9920245,0.4153433,-0.1904646,-0.0556978,57.456525,55.18436364,8892.522105,12002.36364,1,0.43
short,139_122,Maize,2000_2010,1.2304681,0.4881254,-0.6442923,-0.0505542,41.604693,53.00736364,4079.948847,10978.65455,1.39,0.5
short,121_78,Maize,2000_2010,3.7655385,0.6553287,-0.5304494,-0.0465281,43.127544,90.51981818,6362.847291,10408.43636,4.59,0.67
short,43_67,Maize,2000_2010,0.8215702,0.3469594,0.6651832,-0.0542236,58.229618,0.377272727,8354.286625,10927.94545,0.46,0.36
short,119_105,Maize,2000_2010,1.7389913,0.3799209,-0.6092775,-0.0526103,39.420355,94.25072727,8353.990003,11548.63636,2.18,0.39
short,111_76,Maize,2000_2010,0.9595099,0.3500195,0.3026585,-0.0535043,34.725434,59.13281818,6981.2762,10654.47273,0.74,0.36
short,88_151,Maize,2000_2010,1.6357518,0.4563384,-0.5368764,-0.0569906,58.668173,33.85736364,8242.257925,13084.70909,1.81,0.47
short,84_96,Maize,2000_2010,0.9584332,0.3486424,0.0341988,-0.0559607,39.719912,72.66336364,7874.398775,11751.00909,0.83,0.36
short,55_45,Maize,2000_2010,1.2865068,0.3754742,-1.1327914,-0.0550286,56.098453,123.3361818,10455.03702,10561.44545,2.18,0.39
short,69_47,Maize,2000_2010,1.7814798,1.0321155,-1.0143997,-0.0551083,42.147867,123.879,9655.448055,11000.75455,2.72,1.07
short,178_132,Maize,2000_2010,1.9078175,0.3838831,-0.4434698,-0.0378308,51.654615,87.34827273,3649.720787,8414.854545,2.18,0.39
short,78_100,Maize,2000_2010,1.8749844,1.0996704,-0.4353707,-0.0525538,25.446638,98.23290909,8641.323279,13142.18182,2.13,1.13
short,114_132,Maize,2000_2010,0.8274046,0.3502398,-0.095661,-0.0535905,45.739672,33.85727273,7323.820846,11630.36364,0.74,0.36
short,151_105,Maize,2000_2010,0.6538551,0.2946376,-0.0715259,-0.0433451,37.561509,71.53736364,3566.001947,7414.809091,0.5,0.3
